No,Секунда ,Микросекунда
1,21,803542
2,21,814302
3,21,825203
4,21,836106
5,21,846415
6,21,856541
7,21,866783
8,21,876926
9,21,887221
10,21,897727
11,21,908713
12,21,919455
13,21,930316
14,21,941194
15,21,952159
16,21,962927
17,21,973040
18,21,983825
19,21,994845
20,22,4972
21,22,15150
22,22,25438
23,22,35623
24,22,46375
25,22,56566
26,22,67379
27,22,78207
28,22,88295
29,22,98989
30,22,109055
31,22,120066
32,22,130185
33,22,141126
34,22,151421
35,22,161507
36,22,172247
37,22,182462
38,22,193313
39,22,203724
40,22,213866
41,22,223970
42,22,234132
43,22,244347
44,22,255253
45,22,266257
46,22,276443
47,22,286567
48,22,296945
49,22,307060
50,22,317452
51,22,327608
52,22,337804
53,22,348502
54,22,358596
55,22,368783
56,22,379080
57,22,389355
58,22,399512
59,22,410067
60,22,421079
61,22,431931
62,22,442286
63,22,452350
64,22,462447
65,22,473246
66,22,484400
67,22,495390
68,22,505541
69,22,515802
70,22,525913
71,22,536009
72,22,546168
73,22,556619
74,22,567672
75,22,578649
76,22,588975
77,22,600012
78,22,610285
79,22,620544
80,22,630795
81,22,641501
82,22,651900
83,22,662543
84,22,672933
85,22,683735
86,22,694004
87,22,704773
88,22,715179
89,22,725856
90,22,736125
91,22,747147
92,22,757341
93,22,768002
94,22,778408
95,22,789097
96,22,799809
97,22,810735
98,22,821660
99,22,831867
100,22,842223
101,22,852636
102,22,862813
103,22,873455
104,22,883795
105,22,894526
106,22,905364
107,22,916336
108,22,927291
109,22,938255
110,22,949227
111,22,960286
112,22,971249
113,22,982210
114,22,993109
115,23,4137
116,23,15065
117,23,26005
118,23,36925
119,23,47889
120,23,58860
121,23,69823
122,23,80786
123,23,90898
124,23,101119
125,23,111306
126,23,121927
127,23,132580
128,23,142842
129,23,153209
130,23,163992
131,23,174309
132,23,184804
133,23,194900
134,23,205522
135,23,216689
136,23,227271
137,23,237539
138,23,247737
139,23,258025
140,23,268720
141,23,279109
142,23,289813
143,23,300217
144,23,311024
145,23,321577
146,23,332199
147,23,342560
148,23,353347
149,23,364266
150,23,374462
151,23,384842
152,23,395210
153,23,405594
154,23,416354
155,23,426717
156,23,437608
157,23,447901
158,23,458607
159,23,469044
160,23,479833
161,23,490240
162,23,500464
163,23,510902
164,23,521024
165,23,531347
166,23,541497
167,23,551650
168,23,562181
169,23,572586
170,23,583322
171,23,593701
172,23,604515
173,23,614929
174,23,625748
175,23,636042
176,23,646722
177,23,657158
178,23,667992
179,23,678413
180,23,689215
181,23,699608
182,23,710287
183,23,720703
184,23,731498
185,23,741777
186,23,752709
187,23,763139
188,23,773416
189,23,783766
190,23,794004
191,23,804694
192,23,814936
193,23,825225
194,23,836076
195,23,846365
196,23,857216
197,23,867475
198,23,878163
199,23,888572
200,23,899245
201,23,909648
202,23,920220
203,23,930521
204,23,940815
205,23,951487
206,23,961769
207,23,972422
208,23,982799
209,23,993460
210,24,3788
211,24,14225
212,24,24547
213,24,35336
214,24,45738
215,24,56506
216,24,66785
217,24,77504
218,24,87775
219,24,98526
220,24,108947
221,24,119727
222,24,130067
223,24,140340
224,24,150640
225,24,160920
226,24,171566
227,24,181848
228,24,192150
229,24,202966
230,24,213367
231,24,223670
232,24,234324
233,24,244632
234,24,255301
235,24,265625
236,24,275859
237,24,286514
238,24,296931
239,24,307738
240,24,318036
241,24,328854
242,24,339082
243,24,350207
244,24,360524
245,24,370743
246,24,381461
247,24,391903
248,24,402521
249,24,412799
250,24,423530
251,24,433969
252,24,444717
253,24,455044
254,24,465871
255,24,476179
256,24,486875
257,24,497270
258,24,508075
259,24,518484
260,24,528910
261,24,539620
262,24,550025
263,24,560963
264,24,571250
265,24,581950
266,24,592387
267,24,602500
268,24,613440
269,24,623783
270,24,633904
271,24,644864
272,24,655218
273,24,665878
274,24,676200
275,24,687182
276,24,698204
277,24,708472
278,24,718590
279,24,728682
280,24,739051
281,24,749302
282,24,759448
283,24,769663
284,24,779768
285,24,789870
286,24,800707
287,24,811113
288,24,821263
289,24,831381
290,24,841654
291,24,852933
292,24,863168
293,24,873539
294,24,884481
295,24,894838
296,24,905081
297,24,916027
298,24,926375
299,24,936715
300,24,946885
